"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2016-02-05 19:16:42 +01:00"

Year,"Country / territory of asylum/residence",Origin,"Population type",Value
2000,Germany,Ukraine,Asylum-seekers,131
2000,Germany,Uzbekistan,Asylum-seekers,16
2000,Germany,"Viet Nam",Asylum-seekers,469
2000,Germany,Stateless,Asylum-seekers,499
2000,Germany,Various/Unknown,Asylum-seekers,460
2000,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",876000
2000,Germany,Yemen,Asylum-seekers,35
2000,Germany,"South Africa",Asylum-seekers,2
2001,Germany,Afghanistan,Asylum-seekers,10057
2001,Germany,Angola,Asylum-seekers,424
2001,Germany,Albania,Asylum-seekers,159
2001,Germany,Armenia,Asylum-seekers,422
2001,Germany,Azerbaijan,Asylum-seekers,923
2001,Germany,Burundi,Asylum-seekers,25
2001,Germany,Benin,Asylum-seekers,21
2001,Germany,"Burkina Faso",Asylum-seekers,114
2001,Germany,Bangladesh,Asylum-seekers,126
2001,Germany,Bulgaria,Asylum-seekers,25
2001,Germany,"Bosnia and Herzegovina",Asylum-seekers,1000
2001,Germany,"Bosnia and Herzegovina","Refugees (incl. refugee-like situations)",24000
2001,Germany,"Bosnia and Herzegovina",Returnees,1450
2001,Germany,Belarus,Asylum-seekers,284
2001,Germany,"Bolivia (Plurinational State of)",Asylum-seekers,1
2001,Germany,Brazil,Asylum-seekers,1
2001,Germany,Bhutan,Asylum-seekers,28
2001,Germany,"Central African Rep.",Asylum-seekers,13
2001,Germany,Chile,Asylum-seekers,2
2001,Germany,China,Asylum-seekers,707
2001,Germany,"Côte d'Ivoire",Asylum-seekers,63
2001,Germany,Cameroon,Asylum-seekers,535
2001,Germany,"Dem. Rep. of the Congo",Asylum-seekers,964
2001,Germany,Congo,Asylum-seekers,91
2001,Germany,Colombia,Asylum-seekers,87
2001,Germany,Cuba,Asylum-seekers,39
2001,Germany,"Czech Rep.",Asylum-seekers,14
2001,Germany,Djibouti,Asylum-seekers,1
2001,Germany,"Dominican Rep.",Asylum-seekers,2
2001,Germany,Algeria,Asylum-seekers,702
2001,Germany,Ecuador,Asylum-seekers,8
2001,Germany,Egypt,Asylum-seekers,45
2001,Germany,Eritrea,Asylum-seekers,210
2001,Germany,Estonia,Asylum-seekers,1
2001,Germany,Ethiopia,Asylum-seekers,291
2001,Germany,Fiji,Asylum-seekers,7
2001,Germany,Gabon,Asylum-seekers,5
2001,Germany,Georgia,Asylum-seekers,479
2001,Germany,Ghana,Asylum-seekers,59
2001,Germany,Guinea,Asylum-seekers,132
2001,Germany,Gambia,Asylum-seekers,11
2001,Germany,Guinea-Bissau,Asylum-seekers,27
2001,Germany,"Equatorial Guinea",Asylum-seekers,2
2001,Germany,Croatia,Asylum-seekers,44
2001,Germany,Hungary,Asylum-seekers,5
2001,Germany,Indonesia,Asylum-seekers,3
2001,Germany,India,Asylum-seekers,714
2001,Germany,"Iran (Islamic Rep. of)",Asylum-seekers,2462
2001,Germany,Iraq,Asylum-seekers,5454
2001,Germany,Israel,Asylum-seekers,7
2001,Germany,Jamaica,Asylum-seekers,1
2001,Germany,Jordan,Asylum-seekers,28
2001,Germany,Kazakhstan,Asylum-seekers,68
2001,Germany,Kenya,Asylum-seekers,25
2001,Germany,Kyrgyzstan,Asylum-seekers,44
2001,Germany,Cambodia,Asylum-seekers,1
2001,Germany,"Rep. of Korea",Asylum-seekers,1
2001,Germany,Kuwait,Asylum-seekers,2
2001,Germany,"Lao People's Dem. Rep.",Asylum-seekers,4
2001,Germany,"Lao People's Dem. Rep.",Returnees,1
2001,Germany,Lebanon,Asylum-seekers,344
2001,Germany,Liberia,Asylum-seekers,45
2001,Germany,Libya,Asylum-seekers,75
2001,Germany,"Sri Lanka",Asylum-seekers,547
2001,Germany,Lithuania,Asylum-seekers,25
2001,Germany,Latvia,Asylum-seekers,6
2001,Germany,Morocco,Asylum-seekers,108
2001,Germany,"Rep. of Moldova",Asylum-seekers,94
2001,Germany,"The former Yugoslav Republic of Macedonia",Asylum-seekers,517
2001,Germany,Mali,Asylum-seekers,11
2001,Germany,Myanmar,Asylum-seekers,39
2001,Germany,Mongolia,Asylum-seekers,64
2001,Germany,Mozambique,Asylum-seekers,4
2001,Germany,Mauritania,Asylum-seekers,35
2001,Germany,Malaysia,Asylum-seekers,1
2001,Germany,Niger,Asylum-seekers,26
2001,Germany,Nigeria,Asylum-seekers,255
2001,Germany,Nepal,Asylum-seekers,107
2001,Germany,Pakistan,Asylum-seekers,592
2001,Germany,Peru,Asylum-seekers,2
2001,Germany,Philippines,Asylum-seekers,1
2001,Germany,Poland,Asylum-seekers,13
2001,Germany,"Dem. People's Rep. of Korea",Asylum-seekers,20
2001,Germany,Romania,Asylum-seekers,43
2001,Germany,"Russian Federation",Asylum-seekers,2323
2001,Germany,Rwanda,Asylum-seekers,21
2001,Germany,"Saudi Arabia",Asylum-seekers,1
2001,Germany,Sudan,Asylum-seekers,136
2001,Germany,Senegal,Asylum-seekers,12
2001,Germany,"Sierra Leone",Asylum-seekers,420
2001,Germany,Somalia,Asylum-seekers,85
2001,Germany,"Serbia and Kosovo (S/RES/1244 (1999))",Asylum-seekers,42284
2001,Germany,"Serbia and Kosovo (S/RES/1244 (1999))",Returnees,9257
2001,Germany,Slovakia,Asylum-seekers,67
2001,Germany,Slovenia,Asylum-seekers,2
2001,Germany,"Syrian Arab Rep.",Asylum-seekers,1152
2001,Germany,Chad,Asylum-seekers,17
2001,Germany,Togo,Asylum-seekers,613
2001,Germany,Thailand,Asylum-seekers,1
2001,Germany,Tajikistan,Asylum-seekers,18
2001,Germany,Turkmenistan,Asylum-seekers,12
2001,Germany,Tunisia,Asylum-seekers,61
2001,Germany,Turkey,Asylum-seekers,5985
2001,Germany,"United Rep. of Tanzania",Asylum-seekers,4
2001,Germany,Uganda,Asylum-seekers,47
2001,Germany,Ukraine,Asylum-seekers,211
2001,Germany,Uzbekistan,Asylum-seekers,31
2001,Germany,"Viet Nam",Asylum-seekers,676
2001,Germany,Stateless,Asylum-seekers,138
2001,Germany,Various/Unknown,Asylum-seekers,1198
2001,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",879000
2001,Germany,Yemen,Asylum-seekers,71
2001,Germany,"South Africa",Asylum-seekers,1
2001,Germany,Zimbabwe,Asylum-seekers,2
2002,Germany,Afghanistan,Asylum-seekers,12074
2002,Germany,Afghanistan,"Refugees (incl. refugee-like situations)",52289
2002,Germany,Angola,Asylum-seekers,466
2002,Germany,Angola,"Refugees (incl. refugee-like situations)",3334
2002,Germany,Albania,Asylum-seekers,163
2002,Germany,Albania,"Refugees (incl. refugee-like situations)",2073
