"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2016-02-05 19:16:42 +01:00"

Year,"Country / territory of asylum/residence",Origin,"Population type",Value
2007,Germany,Zimbabwe,Asylum-seekers,21
2007,Germany,Zimbabwe,"Refugees (incl. refugee-like situations)",36
2008,Germany,Afghanistan,Asylum-seekers,1729
2008,Germany,Afghanistan,"Others of concern",1632
2008,Germany,Afghanistan,"Refugees (incl. refugee-like situations)",25108
2008,Germany,Afghanistan,Returnees,32
2008,Germany,Angola,Asylum-seekers,175
2008,Germany,Angola,"Refugees (incl. refugee-like situations)",2463
2008,Germany,Albania,Asylum-seekers,95
2008,Germany,Albania,"Refugees (incl. refugee-like situations)",1076
2008,Germany,"United Arab Emirates","Refugees (incl. refugee-like situations)",204
2008,Germany,Argentina,Asylum-seekers,0
2008,Germany,Argentina,"Refugees (incl. refugee-like situations)",24
2008,Germany,Armenia,Asylum-seekers,459
2008,Germany,Armenia,"Refugees (incl. refugee-like situations)",2527
2008,Germany,"Antigua and Barbuda","Refugees (incl. refugee-like situations)",1
2008,Germany,Australia,"Refugees (incl. refugee-like situations)",37
2008,Germany,Austria,"Refugees (incl. refugee-like situations)",5
2008,Germany,Azerbaijan,Asylum-seekers,920
2008,Germany,Azerbaijan,"Refugees (incl. refugee-like situations)",5315
2008,Germany,Burundi,Asylum-seekers,20
2008,Germany,Burundi,"Refugees (incl. refugee-like situations)",123
2008,Germany,Belgium,"Refugees (incl. refugee-like situations)",3
2008,Germany,Benin,Asylum-seekers,58
2008,Germany,Benin,"Refugees (incl. refugee-like situations)",105
2008,Germany,"Burkina Faso",Asylum-seekers,54
2008,Germany,"Burkina Faso","Refugees (incl. refugee-like situations)",116
2008,Germany,Bangladesh,Asylum-seekers,86
2008,Germany,Bangladesh,"Refugees (incl. refugee-like situations)",475
2008,Germany,Bulgaria,Asylum-seekers,17
2008,Germany,Bulgaria,"Refugees (incl. refugee-like situations)",206
2008,Germany,Bahrain,"Refugees (incl. refugee-like situations)",15
2008,Germany,Bahamas,"Refugees (incl. refugee-like situations)",2
2008,Germany,"Bosnia and Herzegovina",Asylum-seekers,317
2008,Germany,"Bosnia and Herzegovina","Refugees (incl. refugee-like situations)",24697
2008,Germany,"Bosnia and Herzegovina",Returnees,95
2008,Germany,Belarus,Asylum-seekers,57
2008,Germany,Belarus,"Refugees (incl. refugee-like situations)",1842
2008,Germany,Belize,"Refugees (incl. refugee-like situations)",2
2008,Germany,"Bolivia (Plurinational State of)",Asylum-seekers,2
2008,Germany,"Bolivia (Plurinational State of)","Refugees (incl. refugee-like situations)",54
2008,Germany,Brazil,Asylum-seekers,0
2008,Germany,Brazil,"Refugees (incl. refugee-like situations)",658
2008,Germany,Barbados,"Refugees (incl. refugee-like situations)",6
2008,Germany,Bhutan,Asylum-seekers,20
2008,Germany,Bhutan,"Refugees (incl. refugee-like situations)",98
2008,Germany,Botswana,Asylum-seekers,0
2008,Germany,Botswana,"Refugees (incl. refugee-like situations)",5
2008,Germany,"Central African Rep.",Asylum-seekers,2
2008,Germany,"Central African Rep.","Refugees (incl. refugee-like situations)",12
2008,Germany,Canada,Asylum-seekers,0
2008,Germany,Canada,"Refugees (incl. refugee-like situations)",63
2008,Germany,Switzerland,Asylum-seekers,0
2008,Germany,Switzerland,"Refugees (incl. refugee-like situations)",18
2008,Germany,Chile,Asylum-seekers,5
2008,Germany,Chile,"Refugees (incl. refugee-like situations)",278
2008,Germany,China,Asylum-seekers,425
2008,Germany,China,"Refugees (incl. refugee-like situations)",3613
2008,Germany,"Côte d'Ivoire",Asylum-seekers,108
2008,Germany,"Côte d'Ivoire","Refugees (incl. refugee-like situations)",307
2008,Germany,Cameroon,Asylum-seekers,360
2008,Germany,Cameroon,"Refugees (incl. refugee-like situations)",912
2008,Germany,"Dem. Rep. of the Congo",Asylum-seekers,476
2008,Germany,"Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)",4418
2008,Germany,Congo,Asylum-seekers,80
2008,Germany,Congo,"Refugees (incl. refugee-like situations)",534
2008,Germany,Colombia,Asylum-seekers,38
2008,Germany,Colombia,"Refugees (incl. refugee-like situations)",334
2008,Germany,Comoros,"Refugees (incl. refugee-like situations)",3
2008,Germany,"Cabo Verde","Refugees (incl. refugee-like situations)",10
2008,Germany,"Costa Rica","Refugees (incl. refugee-like situations)",23
2008,Germany,Cuba,Asylum-seekers,31
2008,Germany,Cuba,"Refugees (incl. refugee-like situations)",463
2008,Germany,"Czech Rep.",Asylum-seekers,4
2008,Germany,"Czech Rep.","Refugees (incl. refugee-like situations)",159
2008,Germany,Germany,Stateless,9322
2008,Germany,Djibouti,Asylum-seekers,0
2008,Germany,Djibouti,"Refugees (incl. refugee-like situations)",6
2008,Germany,Dominica,"Refugees (incl. refugee-like situations)",5
2008,Germany,Denmark,"Refugees (incl. refugee-like situations)",1
2008,Germany,"Dominican Rep.",Asylum-seekers,1
2008,Germany,"Dominican Rep.","Refugees (incl. refugee-like situations)",148
2008,Germany,Algeria,Asylum-seekers,387
2008,Germany,Algeria,"Refugees (incl. refugee-like situations)",1336
2008,Germany,Ecuador,Asylum-seekers,7
2008,Germany,Ecuador,"Refugees (incl. refugee-like situations)",154
2008,Germany,Egypt,Asylum-seekers,63
2008,Germany,Egypt,"Refugees (incl. refugee-like situations)",607
2008,Germany,Eritrea,Asylum-seekers,351
2008,Germany,Eritrea,"Refugees (incl. refugee-like situations)",3480
2008,Germany,Spain,"Refugees (incl. refugee-like situations)",6
2008,Germany,Estonia,Asylum-seekers,1
2008,Germany,Estonia,"Refugees (incl. refugee-like situations)",77
2008,Germany,Ethiopia,Asylum-seekers,401
2008,Germany,Ethiopia,"Refugees (incl. refugee-like situations)",3584
2008,Germany,Finland,"Refugees (incl. refugee-like situations)",2
2008,Germany,Fiji,Asylum-seekers,0
2008,Germany,Fiji,"Refugees (incl. refugee-like situations)",2
2008,Germany,France,Asylum-seekers,1
2008,Germany,France,"Refugees (incl. refugee-like situations)",12
2008,Germany,Gabon,Asylum-seekers,6
2008,Germany,Gabon,"Refugees (incl. refugee-like situations)",10
2008,Germany,"United Kingdom",Asylum-seekers,1
2008,Germany,"United Kingdom","Refugees (incl. refugee-like situations)",16
2008,Germany,Georgia,Asylum-seekers,247
2008,Germany,Georgia,"Refugees (incl. refugee-like situations)",1509
2008,Germany,Ghana,Asylum-seekers,263
2008,Germany,Ghana,"Refugees (incl. refugee-like situations)",1339
2008,Germany,Guinea,Asylum-seekers,263
2008,Germany,Guinea,"Refugees (incl. refugee-like situations)",404
2008,Germany,Gambia,Asylum-seekers,191
2008,Germany,Gambia,"Refugees (incl. refugee-like situations)",114
2008,Germany,Guinea-Bissau,Asylum-seekers,13
2008,Germany,Guinea-Bissau,"Refugees (incl. refugee-like situations)",24
2008,Germany,"Equatorial Guinea",Asylum-seekers,1
2008,Germany,"Equatorial Guinea","Refugees (incl. refugee-like situations)",15
2008,Germany,Greece,Asylum-seekers,1
2008,Germany,Greece,"Refugees (incl. refugee-like situations)",17
2008,Germany,Grenada,"Refugees (incl. refugee-like situations)",2
2008,Germany,Guatemala,"Refugees (incl. refugee-like situations)",18
2008,Germany,Guyana,"Refugees (incl. refugee-like situations)",6
2008,Germany,Honduras,Asylum-seekers,1
2008,Germany,Honduras,"Refugees (incl. refugee-like situations)",24
2008,Germany,Croatia,Asylum-seekers,22
2008,Germany,Croatia,"Refugees (incl. refugee-like situations)",16241
2008,Germany,Haiti,Asylum-seekers,4
2008,Germany,Haiti,"Refugees (incl. refugee-like situations)",41
2008,Germany,Hungary,Asylum-seekers,1
2008,Germany,Hungary,"Refugees (incl. refugee-like situations)",128
2008,Germany,Indonesia,Asylum-seekers,3
2008,Germany,Indonesia,"Refugees (incl. refugee-like situations)",312
2008,Germany,India,Asylum-seekers,492
2008,Germany,India,"Refugees (incl. refugee-like situations)",1827
2008,Germany,"Iran (Islamic Rep. of)",Asylum-seekers,2388
2008,Germany,"Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",15816
2008,Germany,Iraq,Asylum-seekers,5801
2008,Germany,Iraq,"Others of concern",7763
2008,Germany,Iraq,"Refugees (incl. refugee-like situations)",38854
2008,Germany,Iceland,"Refugees (incl. refugee-like situations)",4
2008,Germany,Israel,Asylum-seekers,7
2008,Germany,Israel,"Refugees (incl. refugee-like situations)",574
2008,Germany,Italy,Asylum-seekers,0
2008,Germany,Italy,"Refugees (incl. refugee-like situations)",32
2008,Germany,Jamaica,Asylum-seekers,3
2008,Germany,Jamaica,"Refugees (incl. refugee-like situations)",59
2008,Germany,Jordan,Asylum-seekers,42
2008,Germany,Jordan,"Refugees (incl. refugee-like situations)",538
2008,Germany,Japan,"Refugees (incl. refugee-like situations)",158
2008,Germany,Kazakhstan,Asylum-seekers,17
2008,Germany,Kazakhstan,"Refugees (incl. refugee-like situations)",2755
2008,Germany,Kenya,Asylum-seekers,233
2008,Germany,Kenya,"Refugees (incl. refugee-like situations)",284
2008,Germany,Kyrgyzstan,Asylum-seekers,23
2008,Germany,Kyrgyzstan,"Refugees (incl. refugee-like situations)",1370
2008,Germany,Cambodia,Asylum-seekers,21
2008,Germany,Cambodia,"Refugees (incl. refugee-like situations)",130
2008,Germany,Kiribati,"Refugees (incl. refugee-like situations)",5
2008,Germany,"Rep. of Korea",Asylum-seekers,1
2008,Germany,"Rep. of Korea","Refugees (incl. refugee-like situations)",771
2008,Germany,Kuwait,Asylum-seekers,0
2008,Germany,Kuwait,"Refugees (incl. refugee-like situations)",96
2008,Germany,"Lao People's Dem. Rep.",Asylum-seekers,2
2008,Germany,"Lao People's Dem. Rep.","Refugees (incl. refugee-like situations)",171
2008,Germany,Lebanon,Asylum-seekers,680
2008,Germany,Lebanon,"Refugees (incl. refugee-like situations)",9650
2008,Germany,Liberia,Asylum-seekers,31
2008,Germany,Liberia,"Refugees (incl. refugee-like situations)",252
2008,Germany,Libya,Asylum-seekers,42
2008,Germany,Libya,"Refugees (incl. refugee-like situations)",558
2008,Germany,"Saint Lucia","Refugees (incl. refugee-like situations)",5
2008,Germany,"Sri Lanka",Asylum-seekers,738
2008,Germany,"Sri Lanka","Refugees (incl. refugee-like situations)",6594
2008,Germany,Lesotho,"Refugees (incl. refugee-like situations)",4
2008,Germany,Lithuania,Asylum-seekers,1
2008,Germany,Lithuania,"Refugees (incl. refugee-like situations)",186
2008,Germany,Latvia,Asylum-seekers,2
2008,Germany,Latvia,"Refugees (incl. refugee-like situations)",431
2008,Germany,Morocco,Asylum-seekers,149
2008,Germany,Morocco,"Refugees (incl. refugee-like situations)",2866
2008,Germany,"Rep. of Moldova",Asylum-seekers,24
2008,Germany,"Rep. of Moldova","Refugees (incl. refugee-like situations)",3823
2008,Germany,Madagascar,"Refugees (incl. refugee-like situations)",21
2008,Germany,Maldives,"Refugees (incl. refugee-like situations)",1
2008,Germany,Mexico,Asylum-seekers,1
2008,Germany,Mexico,"Refugees (incl. refugee-like situations)",159
2008,Germany,"The former Yugoslav Republic of Macedonia",Asylum-seekers,108
2008,Germany,"The former Yugoslav Republic of Macedonia","Refugees (incl. refugee-like situations)",5729
2008,Germany,Mali,Asylum-seekers,10
2008,Germany,Mali,"Refugees (incl. refugee-like situations)",43
2008,Germany,Myanmar,Asylum-seekers,68
2008,Germany,Myanmar,"Refugees (incl. refugee-like situations)",729
2008,Germany,Montenegro,Asylum-seekers,79
2008,Germany,Montenegro,"Refugees (incl. refugee-like situations)",1203
2008,Germany,Mongolia,Asylum-seekers,22
2008,Germany,Mongolia,"Refugees (incl. refugee-like situations)",186
2008,Germany,Mozambique,Asylum-seekers,2
2008,Germany,Mozambique,"Refugees (incl. refugee-like situations)",158
2008,Germany,Mauritania,Asylum-seekers,3
2008,Germany,Mauritania,"Refugees (incl. refugee-like situations)",36
2008,Germany,Mauritius,Asylum-seekers,1
2008,Germany,Mauritius,"Refugees (incl. refugee-like situations)",4
2008,Germany,Malawi,"Refugees (incl. refugee-like situations)",5
2008,Germany,Malaysia,Asylum-seekers,0
2008,Germany,Malaysia,"Refugees (incl. refugee-like situations)",110
2008,Germany,Namibia,"Refugees (incl. refugee-like situations)",19
2008,Germany,Niger,Asylum-seekers,23
2008,Germany,Niger,"Refugees (incl. refugee-like situations)",135
2008,Germany,Nigeria,Asylum-seekers,715
2008,Germany,Nigeria,"Refugees (incl. refugee-like situations)",1237
2008,Germany,Nicaragua,"Refugees (incl. refugee-like situations)",18
2008,Germany,Netherlands,Asylum-seekers,6
2008,Germany,Netherlands,"Refugees (incl. refugee-like situations)",13
2008,Germany,Norway,Asylum-seekers,0
2008,Germany,Nepal,Asylum-seekers,37
2008,Germany,Nepal,"Refugees (incl. refugee-like situations)",259
2008,Germany,"New Zealand","Refugees (incl. refugee-like situations)",8
2008,Germany,Oman,"Refugees (incl. refugee-like situations)",36
2008,Germany,Pakistan,Asylum-seekers,655
2008,Germany,Pakistan,"Refugees (incl. refugee-like situations)",4607
2008,Germany,Panama,"Refugees (incl. refugee-like situations)",9
2008,Germany,Peru,Asylum-seekers,7
2008,Germany,Peru,"Refugees (incl. refugee-like situations)",353
2008,Germany,Philippines,Asylum-seekers,6
2008,Germany,Philippines,"Refugees (incl. refugee-like situations)",605
2008,Germany,Palau,"Refugees (incl. refugee-like situations)",1
2008,Germany,"Papua New Guinea","Refugees (incl. refugee-like situations)",1
2008,Germany,Poland,Asylum-seekers,8
2008,Germany,Poland,"Refugees (incl. refugee-like situations)",993
2008,Germany,"Dem. People's Rep. of Korea",Asylum-seekers,13
2008,Germany,"Dem. People's Rep. of Korea","Refugees (incl. refugee-like situations)",180
2008,Germany,Portugal,"Refugees (incl. refugee-like situations)",8
2008,Germany,Paraguay,"Refugees (incl. refugee-like situations)",40
2008,Germany,Qatar,"Refugees (incl. refugee-like situations)",58
2008,Germany,Romania,Asylum-seekers,4
2008,Germany,Romania,"Refugees (incl. refugee-like situations)",812
2008,Germany,"Russian Federation",Asylum-seekers,1812
2008,Germany,"Russian Federation","Refugees (incl. refugee-like situations)",35505
2008,Germany,Rwanda,Asylum-seekers,32
2008,Germany,Rwanda,"Refugees (incl. refugee-like situations)",194
2008,Germany,"Saudi Arabia",Asylum-seekers,1
2008,Germany,"Saudi Arabia","Refugees (incl. refugee-like situations)",458
2008,Germany,Sudan,Asylum-seekers,131
2008,Germany,Sudan,"Refugees (incl. refugee-like situations)",458
2008,Germany,Senegal,Asylum-seekers,17
2008,Germany,Senegal,"Refugees (incl. refugee-like situations)",91
2008,Germany,Singapore,"Refugees (incl. refugee-like situations)",42
2008,Germany,"Sierra Leone",Asylum-seekers,201
2008,Germany,"Sierra Leone","Refugees (incl. refugee-like situations)",466
2008,Germany,"El Salvador",Asylum-seekers,0
2008,Germany,"El Salvador","Refugees (incl. refugee-like situations)",23
2008,Germany,Somalia,Asylum-seekers,165
2008,Germany,Somalia,"Refugees (incl. refugee-like situations)",2190
2008,Germany,"Serbia and Kosovo (S/RES/1244 (1999))",Asylum-seekers,3460
2008,Germany,"Serbia and Kosovo (S/RES/1244 (1999))","Others of concern",11500
2008,Germany,"Serbia and Kosovo (S/RES/1244 (1999))","Refugees (incl. refugee-like situations)",98787
2008,Germany,"Serbia and Kosovo (S/RES/1244 (1999))",Returnees,100
2008,Germany,"Sao Tome and Principe","Refugees (incl. refugee-like situations)",2
2008,Germany,Suriname,"Refugees (incl. refugee-like situations)",2
2008,Germany,Slovakia,Asylum-seekers,3
2008,Germany,Slovakia,"Refugees (incl. refugee-like situations)",27
2008,Germany,Slovenia,"Refugees (incl. refugee-like situations)",23
2008,Germany,Sweden,Asylum-seekers,1
2008,Germany,Sweden,"Refugees (incl. refugee-like situations)",4
2008,Germany,Swaziland,"Refugees (incl. refugee-like situations)",1
2008,Germany,Seychelles,"Refugees (incl. refugee-like situations)",5
2008,Germany,"Syrian Arab Rep.",Asylum-seekers,1418
2008,Germany,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",8205
2008,Germany,Chad,Asylum-seekers,8
2008,Germany,Chad,"Refugees (incl. refugee-like situations)",34
2008,Germany,Togo,Asylum-seekers,231
2008,Germany,Togo,"Refugees (incl. refugee-like situations)",3340
2008,Germany,Thailand,Asylum-seekers,2
2008,Germany,Thailand,"Refugees (incl. refugee-like situations)",1559
2008,Germany,Tajikistan,Asylum-seekers,23
2008,Germany,Tajikistan,"Refugees (incl. refugee-like situations)",129
2008,Germany,Turkmenistan,Asylum-seekers,21
2008,Germany,Turkmenistan,"Refugees (incl. refugee-like situations)",242
2008,Germany,Tonga,"Refugees (incl. refugee-like situations)",2
2008,Germany,"Trinidad and Tobago","Refugees (incl. refugee-like situations)",19
2008,Germany,Tunisia,Asylum-seekers,90
2008,Germany,Tunisia,"Refugees (incl. refugee-like situations)",770
2008,Germany,Turkey,Asylum-seekers,3212
2008,Germany,Turkey,"Refugees (incl. refugee-like situations)",161919
2008,Germany,Tuvalu,"Refugees (incl. refugee-like situations)",2
2008,Germany,"United Rep. of Tanzania",Asylum-seekers,9
2008,Germany,"United Rep. of Tanzania","Refugees (incl. refugee-like situations)",36
2008,Germany,Uganda,Asylum-seekers,55
2008,Germany,Uganda,"Refugees (incl. refugee-like situations)",183
2008,Germany,Ukraine,Asylum-seekers,47
2008,Germany,Ukraine,"Refugees (incl. refugee-like situations)",22156
2008,Germany,Uruguay,"Refugees (incl. refugee-like situations)",21
2008,Germany,"United States of America",Asylum-seekers,4
2008,Germany,"United States of America","Refugees (incl. refugee-like situations)",344
2008,Germany,Uzbekistan,Asylum-seekers,28
2008,Germany,Uzbekistan,"Refugees (incl. refugee-like situations)",1918
2008,Germany,"Saint Vincent and the Grenadines","Refugees (incl. refugee-like situations)",1
2008,Germany,"Venezuela (Bolivarian Republic of)",Asylum-seekers,5
2008,Germany,"Venezuela (Bolivarian Republic of)","Refugees (incl. refugee-like situations)",86
2008,Germany,"Viet Nam",Asylum-seekers,716
2008,Germany,"Viet Nam","Refugees (incl. refugee-like situations)",14043
2008,Germany,Samoa,"Refugees (incl. refugee-like situations)",4
2008,Germany,Stateless,Asylum-seekers,106
2008,Germany,Stateless,"Refugees (incl. refugee-like situations)",4202
2008,Germany,Various/Unknown,Asylum-seekers,1154
2008,Germany,Various/Unknown,"Others of concern",1605
2008,Germany,Various/Unknown,"Refugees (incl. refugee-like situations)",13112
2008,Germany,Yemen,Asylum-seekers,37
2008,Germany,Yemen,"Refugees (incl. refugee-like situations)",358
2008,Germany,"South Africa",Asylum-seekers,3
2008,Germany,"South Africa","Refugees (incl. refugee-like situations)",170
2008,Germany,Zambia,Asylum-seekers,3
2008,Germany,Zambia,"Refugees (incl. refugee-like situations)",17
2008,Germany,Zimbabwe,Asylum-seekers,68
2008,Germany,Zimbabwe,"Refugees (incl. refugee-like situations)",42
2009,Germany,Afghanistan,Asylum-seekers,3891
2009,Germany,Afghanistan,"Others of concern",971
2009,Germany,Afghanistan,"Refugees (incl. refugee-like situations)",30320
2009,Germany,Afghanistan,Returnees,6
2009,Germany,Angola,Asylum-seekers,143
2009,Germany,Angola,"Refugees (incl. refugee-like situations)",3433
2009,Germany,Albania,Asylum-seekers,76
2009,Germany,Albania,"Refugees (incl. refugee-like situations)",2310
2009,Germany,"United Arab Emirates","Refugees (incl. refugee-like situations)",357
2009,Germany,Argentina,"Refugees (incl. refugee-like situations)",31
2009,Germany,Armenia,Asylum-seekers,600
2009,Germany,Armenia,"Refugees (incl. refugee-like situations)",3691
2009,Germany,"Antigua and Barbuda","Refugees (incl. refugee-like situations)",1
2009,Germany,Australia,"Refugees (incl. refugee-like situations)",23
2009,Germany,Austria,"Refugees (incl. refugee-like situations)",3
2009,Germany,Azerbaijan,Asylum-seekers,1241
2009,Germany,Azerbaijan,"Refugees (incl. refugee-like situations)",6063
2009,Germany,Burundi,Asylum-seekers,23
2009,Germany,Burundi,"Refugees (incl. refugee-like situations)",145
2009,Germany,Belgium,Asylum-seekers,1
2009,Germany,Belgium,"Refugees (incl. refugee-like situations)",2
2009,Germany,Benin,Asylum-seekers,81
2009,Germany,Benin,"Refugees (incl. refugee-like situations)",167
2009,Germany,"Burkina Faso",Asylum-seekers,68
2009,Germany,"Burkina Faso","Refugees (incl. refugee-like situations)",189
2009,Germany,Bangladesh,Asylum-seekers,98
2009,Germany,Bangladesh,"Refugees (incl. refugee-like situations)",942
2009,Germany,Bulgaria,Asylum-seekers,20
2009,Germany,Bulgaria,"Refugees (incl. refugee-like situations)",191
2009,Germany,Bahrain,"Refugees (incl. refugee-like situations)",18
2009,Germany,"Bosnia and Herzegovina",Asylum-seekers,329
2009,Germany,"Bosnia and Herzegovina","Refugees (incl. refugee-like situations)",24947
2009,Germany,"Bosnia and Herzegovina",Returnees,117
2009,Germany,Belarus,Asylum-seekers,79
2009,Germany,Belarus,"Refugees (incl. refugee-like situations)",1694
2009,Germany,Belize,"Refugees (incl. refugee-like situations)",1
2009,Germany,"Bolivia (Plurinational State of)",Asylum-seekers,0
2009,Germany,"Bolivia (Plurinational State of)","Refugees (incl. refugee-like situations)",25
2009,Germany,Brazil,Asylum-seekers,2
2009,Germany,Brazil,"Refugees (incl. refugee-like situations)",163
2009,Germany,Bhutan,Asylum-seekers,14
2009,Germany,Bhutan,"Refugees (incl. refugee-like situations)",98
2009,Germany,Botswana,Asylum-seekers,1
2009,Germany,Botswana,"Refugees (incl. refugee-like situations)",1
2009,Germany,"Central African Rep.",Asylum-seekers,3
2009,Germany,"Central African Rep.","Refugees (incl. refugee-like situations)",15
2009,Germany,Canada,Asylum-seekers,0
2009,Germany,Canada,"Refugees (incl. refugee-like situations)",52
2009,Germany,Switzerland,"Refugees (incl. refugee-like situations)",4
2009,Germany,Chile,Asylum-seekers,6
2009,Germany,Chile,"Refugees (incl. refugee-like situations)",430
2009,Germany,China,Asylum-seekers,595
2009,Germany,China,"Refugees (incl. refugee-like situations)",3654
2009,Germany,"Côte d'Ivoire",Asylum-seekers,111
2009,Germany,"Côte d'Ivoire","Refugees (incl. refugee-like situations)",494
2009,Germany,Cameroon,Asylum-seekers,417
2009,Germany,Cameroon,"Refugees (incl. refugee-like situations)",1180
2009,Germany,"Dem. Rep. of the Congo",Asylum-seekers,508
2009,Germany,"Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)",6093
2009,Germany,Congo,Asylum-seekers,72
2009,Germany,Congo,"Refugees (incl. refugee-like situations)",684
2009,Germany,Colombia,Asylum-seekers,29
2009,Germany,Colombia,"Refugees (incl. refugee-like situations)",229
2009,Germany,Comoros,Asylum-seekers,3
2009,Germany,Comoros,"Refugees (incl. refugee-like situations)",3
2009,Germany,"Cabo Verde","Refugees (incl. refugee-like situations)",3
2009,Germany,"Costa Rica","Refugees (incl. refugee-like situations)",8
2009,Germany,Cuba,Asylum-seekers,24
2009,Germany,Cuba,"Refugees (incl. refugee-like situations)",381
2009,Germany,Cyprus,"Refugees (incl. refugee-like situations)",1
2009,Germany,"Czech Rep.",Asylum-seekers,3
2009,Germany,"Czech Rep.","Refugees (incl. refugee-like situations)",160
2009,Germany,Germany,Stateless,8226
2009,Germany,Djibouti,"Refugees (incl. refugee-like situations)",6
2009,Germany,Dominica,"Refugees (incl. refugee-like situations)",2
2009,Germany,"Dominican Rep.",Asylum-seekers,1
2009,Germany,"Dominican Rep.","Refugees (incl. refugee-like situations)",46
2009,Germany,Algeria,Asylum-seekers,458
2009,Germany,Algeria,"Refugees (incl. refugee-like situations)",2317
2009,Germany,Ecuador,Asylum-seekers,3
2009,Germany,Ecuador,"Refugees (incl. refugee-like situations)",127
2009,Germany,Egypt,Asylum-seekers,83
2009,Germany,Egypt,"Refugees (incl. refugee-like situations)",832
2009,Germany,Eritrea,Asylum-seekers,299
2009,Germany,Eritrea,"Refugees (incl. refugee-like situations)",4293
2009,Germany,Spain,Asylum-seekers,1
2009,Germany,Spain,"Refugees (incl. refugee-like situations)",3
2009,Germany,Estonia,Asylum-seekers,2
2009,Germany,Estonia,"Refugees (incl. refugee-like situations)",79
2009,Germany,Ethiopia,Asylum-seekers,453
2009,Germany,Ethiopia,"Refugees (incl. refugee-like situations)",4631
2009,Germany,France,Asylum-seekers,3
2009,Germany,France,"Refugees (incl. refugee-like situations)",2
2009,Germany,Gabon,Asylum-seekers,4
2009,Germany,Gabon,"Refugees (incl. refugee-like situations)",10
2009,Germany,"United Kingdom",Asylum-seekers,0
2009,Germany,"United Kingdom","Refugees (incl. refugee-like situations)",3
2009,Germany,Georgia,Asylum-seekers,495
2009,Germany,Georgia,"Refugees (incl. refugee-like situations)",1943
2009,Germany,Ghana,Asylum-seekers,289
2009,Germany,Ghana,"Refugees (incl. refugee-like situations)",4270
2009,Germany,Guinea,Asylum-seekers,383
2009,Germany,Guinea,"Refugees (incl. refugee-like situations)",572
2009,Germany,Gambia,Asylum-seekers,282
2009,Germany,Gambia,"Refugees (incl. refugee-like situations)",469
2009,Germany,Guinea-Bissau,Asylum-seekers,22
2009,Germany,Guinea-Bissau,"Refugees (incl. refugee-like situations)",38
2009,Germany,"Equatorial Guinea",Asylum-seekers,4
2009,Germany,"Equatorial Guinea","Refugees (incl. refugee-like situations)",23
2009,Germany,Greece,Asylum-seekers,1
2009,Germany,Greece,"Refugees (incl. refugee-like situations)",6
2009,Germany,Guatemala,"Refugees (incl. refugee-like situations)",6
2009,Germany,Guyana,"Refugees (incl. refugee-like situations)",2
2009,Germany,Honduras,Asylum-seekers,2
2009,Germany,Honduras,"Refugees (incl. refugee-like situations)",10
2009,Germany,Croatia,Asylum-seekers,20
2009,Germany,Croatia,"Refugees (incl. refugee-like situations)",4100
2009,Germany,Haiti,Asylum-seekers,2
2009,Germany,Haiti,"Refugees (incl. refugee-like situations)",40
2009,Germany,Hungary,Asylum-seekers,1
2009,Germany,Hungary,"Refugees (incl. refugee-like situations)",133
2009,Germany,Indonesia,Asylum-seekers,3
2009,Germany,Indonesia,"Refugees (incl. refugee-like situations)",108
2009,Germany,India,Asylum-seekers,705
2009,Germany,India,"Refugees (incl. refugee-like situations)",2879
2009,Germany,"Iran (Islamic Rep. of)",Asylum-seekers,2684
2009,Germany,"Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",20226
2009,Germany,Iraq,Asylum-seekers,5403
2009,Germany,Iraq,"Others of concern",6704
2009,Germany,Iraq,"Refugees (incl. refugee-like situations)",49033
2009,Germany,Iraq,Returnees,530
2009,Germany,Iceland,"Refugees (incl. refugee-like situations)",1
2009,Germany,Israel,Asylum-seekers,19
2009,Germany,Israel,"Refugees (incl. refugee-like situations)",350
2009,Germany,Italy,Asylum-seekers,3
2009,Germany,Italy,"Refugees (incl. refugee-like situations)",10
2009,Germany,Jamaica,Asylum-seekers,2
2009,Germany,Jamaica,"Refugees (incl. refugee-like situations)",16
2009,Germany,Jordan,Asylum-seekers,62
2009,Germany,Jordan,"Refugees (incl. refugee-like situations)",788
2009,Germany,Japan,"Refugees (incl. refugee-like situations)",121
2009,Germany,Kazakhstan,Asylum-seekers,24
2009,Germany,Kazakhstan,"Refugees (incl. refugee-like situations)",1665
2009,Germany,Kenya,Asylum-seekers,278
2009,Germany,Kenya,"Refugees (incl. refugee-like situations)",253
2009,Germany,Kyrgyzstan,Asylum-seekers,31
2009,Germany,Kyrgyzstan,"Refugees (incl. refugee-like situations)",1358
2009,Germany,Cambodia,Asylum-seekers,18
2009,Germany,Cambodia,"Refugees (incl. refugee-like situations)",156
2009,Germany,"Rep. of Korea",Asylum-seekers,2
2009,Germany,"Rep. of Korea","Refugees (incl. refugee-like situations)",226
2009,Germany,Kuwait,"Refugees (incl. refugee-like situations)",151
2009,Germany,"Lao People's Dem. Rep.",Asylum-seekers,3
2009,Germany,"Lao People's Dem. Rep.","Refugees (incl. refugee-like situations)",173
